八千代緑が丘,やちよみどりがおか,Yachiyo-Midorigaoka
富浦,とみうら,Tomiura
和田浦,わだうら,Wadaura
八幡宿,やわたじゅく,Yawatajuku
蓮田,はすだ,Hasuda
東大宮,ひがしおおみや,Higashi-Omiya
東鷲宮,ひがしわしのみや,Higashi-Washinomiya
石橋,いしばし,Ishibashi
自治医大,じちいだい,Jichiidai
蒲須坂,かますさか,Kamasusaka
片岡,かたおか,Kataoka
小金井,こがねい,Koganei
古河,こが,Koga
間々田,ままだ,Mamada
那須塩原,なすしおばら,Nasushiobara
西那須野,にし-なすの,Nishi-Nasuno
野木,のぎ,Nogi
野崎,のざき,Nozaki
岡本,おかもと,Okamoto
新白岡,しんしらおか,Shin-Shiraoka
白岡,しらおか,Shiraoka
雀宮,すずめのみや,Suzumenomiya
土呂,とろ,Toro
氏家,うじいえ,Ujiie
目白,めじろ,Mejiro
矢板,やいた,Yaita
原宿,はらじゅく,Harajuku
大塚,おおつか,Otsuka
新大久保,しんおおくぼ,Shin-Okubo
相原,あいはら,Aihara
淵野辺,ふちのべ,Fuchinobe
八王子みなみ野,はちおおじみなみの,Hachiojiminamino
鴨居,かもい,Kamoi
片倉,かたくら,Katakura
古淵,こぶち,Kobuchi
小机,こずくえ,Kozukue
中山,なかやま,Nakayama
成瀬,なるせ,Naruse
大口,おおぐち,Oguchi
相模原,さがみはら,Sagamihara
新横浜,しんよこはま,Shin-Yokohama
十日市場,とおかいちば,Tokaichiba
矢部,やべ,Yabe
東逗子,ひがしずし,Higashi-Zushi
鎌倉,かまくら,Kamakura
衣笠,きぬがさ,Kinugasa
北鎌倉,きたかまくら,Kita-Kamakura
久里浜,くりはま,Kurihama
田浦,たうら,Taura
横須賀,よこすか,Yokosuka
逗子,ずし,Zushi
高幡不動,たかはたふどう,Takahatafudo
多摩動物公園,たまどうぶつこうえん,Tama-Dobutsukoen
永福町,えいふくちょう,Eifukucho
富士見ヶ丘,ふじみがおか,Fujimigaoka
浜田山,はまだやま,Hamadayama
東松原,ひがしまつばら,Higashi-Matsubara
池ノ上,いけのうえ,Ikenoue
井の頭公園,いのかしらこうえん,Inokashira-Koen
駒場東大前,こまばとうだいまえ,Komaba-Todaimae
久我山,くがやま,Kugayama
明大前,めいだいまえ,Meidaimae
三鷹台,みたかだい,Mitakadai
西永福,にしえいふく,Nishi-Eifuku
新代田,しんだいた,Shindaita
神泉,しんせん,Shinsen
高井戸,たかいど,Takaido
府中競馬正門前,ふちゅけいばせいもっまえ,Fuchukeiba-Seimommae
東府中,ひがしふちゅう,Higashi-Fuchu
千歳烏山,ちとせからすやま,Chitose-Karasuyama
調布,ちょうふ,Chofu
代田橋,だいたばし,Daitabashi
府中,ふちゅう,Fuchu
布田,ふだ,Fuda
八幡山,はちまんやま,Hachiman-Yama
平山城址公園,ひらやまじょうしこうえん,Hirayamajoshi-Koen
上北沢,かみきたざわ,Kami-Kitazawa
京王八王子,けいおうはちおじ,Keio-Hachioji
北野,きたの,Kitano
国領,こくりょう,Kokuryo
南平,みなみだいら,Minamidaira
百草園,もぐさえん,Mogusaen
武蔵野台,むさしのだい,Musashinodai
長沼,ながぬま,Naganuma
中河原,なかがわら,Nakagawara
西調布,にしちょうふ,Nishi-Chofu
芦花公園,ろかこうえん,Roka-Koen
桜上水,さくらじょうすい,Sakurajosui
笹塚,ささずか,Sasazuka
聖蹟桜ヶ丘,せいせきさくらがおか,Seiseki-Sakuragaoka
仙川,せんがわ,Sengawa
柴崎,しばさき,Shibasaki
多磨霊園,たまれいえん,Tama-Reien
飛田給,とびたきゅう,Tobitakyu
つつじヶ丘,つつじがおか,Tsutsujigaoka
幡ヶ谷,はたがや,Hatagaya
初台,はつだい,Hatsudai
稲城,いなぎ,Inagi
京王堀之内,けいおうほりのうち,Keio-Horinouchi
京王稲田堤,けいおういなだずつみ,Keio-Inadazutsumi
京王永山,けいおうながやま,Keio-Nagayama
京王多摩センター,けいおうたませんたー,Keio Tama Center
京王多摩川,けいおうたまがわ,Keio-Tamagawa
京王よみうりランド,けいおうよみうりらんど,Keio Yomiuri Land
南大沢,みなみおおさわ,Minami-Osawa
多摩境,たまさかい,Tamasakai
若葉台,わかばだい,Wakabadai
狭間,はざま,Hazama
京王片倉,けいおうかたくら,Keio-Katakura
めじろ台,めじろだい,Mejirodai
高尾山口,たかおさんぐち,Takaosanguchi
山田,やまだ,Yamada
