八千代緑が丘,やちよみどりがおか,YachiyoMidorigaoka
横須賀,よこすか,Yokosuka
逗子,ずし,Zushi
高幡不動,たかはたふどう,Takahatafudo
多摩動物公園,たまどうぶつこうえん,TamaDobutsukoen
永福町,えいふくちょう,Eifukucho
富士見ヶ丘,ふじみがおか,Fujimigaoka
浜田山,はまだやま,Hamadayama
東松原,ひがしまつばら,HigashiMatsubara
池ノ上,いけのうえ,Ikenoue
井の頭公園,いのかしらこうえん,InokashiraKoen
駒場東大前,こまばとうだいまえ,KomabaTodaimae
久我山,くがやま,Kugayama
明大前,めいだいまえ,Meidaimae
三鷹台,みたかだい,Mitakadai
西永福,にしえいふく,NishiEifuku
新代田,しんだいた,Shindaita
神泉,しんせん,Shinsen
高井戸,たかいど,Takaido
府中競馬正門前,ふちゅけいばせいもっまえ,FuchukeibaSeimommae
東府中,ひがしふちゅう,HigashiFuchu
千歳烏山,ちとせからすやま,ChitoseKarasuyama
調布,ちょうふ,Chofu
代田橋,だいたばし,Daitabashi
府中,ふちゅう,Fuchu
布田,ふだ,Fuda
八幡山,はちまんやま,HachimanYama
平山城址公園,ひらやまじょうしこうえん,HirayamajoshiKoen
上北沢,かみきたざわ,KamiKitazawa
京王八王子,けいおうはちおじ,KeioHachioji
北野,きたの,Kitano
国領,こくりょう,Kokuryo
南平,みなみだいら,Minamidaira
百草園,もぐさえん,Mogusaen
武蔵野台,むさしのだい,Musashinodai
長沼,ながぬま,Naganuma
中河原,なかがわら,Nakagawara
西調布,にしちょうふ,NishiChofu
芦花公園,ろかこうえん,RokaKoen
桜上水,さくらじょうすい,Sakurajosui
笹塚,ささずか,Sasazuka
聖蹟桜ヶ丘,せいせきさくらがおか,SeisekiSakuragaoka
仙川,せんがわ,Sengawa
柴崎,しばさき,Shibasaki
多磨霊園,たまれいえん,TamaReien
飛田給,とびたきゅう,Tobitakyu
つつじヶ丘,つつじがおか,Tsutsujigaoka
幡ヶ谷,はたがや,Hatagaya
初台,はつだい,Hatsudai
稲城,いなぎ,Inagi
京王堀之内,けいおうほりのうち,KeioHorinouchi
京王稲田堤,けいおういなだずつみ,KeioInadazutsumi
京王永山,けいおうながやま,KeioNagayama
京王多摩センター,けいおうたませんたー,Keio Tama Center
京王多摩川,けいおうたまがわ,KeioTamagawa
京王よみうりランド,けいおうよみうりらんど,Keio Yomiuri Land
南大沢,みなみおおさわ,MinamiOsawa
多摩境,たまさかい,Tamasakai
若葉台,わかばだい,Wakabadai
狭間,はざま,Hazama
京王片倉,けいおうかたくら,KeioKatakura
めじろ台,めじろだい,Mejirodai
高尾山口,たかおさんぐち,Takaosanguchi
山田,やまだ,Yamada
